run	success	duration	cost	LI__ICGIM_Vmax	LI__ICGIM_Km	LI__ICGLI2CA_Vmax	LI__ICGLI2CA_Km	LI__ICGLI2BI_Vmax	message	x	x0
210	True	13.945260047912598	27.12768619083194	0.018110998675517433	0.011047301629071202	0.14627660861111577	8.224929285662851	0.00011613233504402264	`xtol` termination condition is satisfied.	"[1.81109987e-02 1.10473016e-02 1.46276609e-01 8.22492929e+00
 1.16132335e-04]"	"[1.32081875e-01 2.58090632e-04 1.68869508e+00 6.99381221e-02
 4.00041714e-05]"
233	True	13.759653806686401	27.128875368292302	0.01932831475000371	0.011853719058584497	0.05946859213907671	17.498292869762068	0.0006071843702616872	`xtol` termination condition is satisfied.	"[1.93283148e-02 1.18537191e-02 5.94685921e-02 1.74982929e+01
 6.07184370e-04]"	"[2.70161154e-03 1.77918115e-04 1.21705616e+00 2.42685206e+00
 4.07535295e-04]"
64	True	13.865216732025146	27.131088145879037	0.04392099538228711	0.027927545805829675	0.0005134812621548996	0.12028198014704147	0.0008238946355776703	`xtol` termination condition is satisfied.	[0.043921   0.02792755 0.00051348 0.12028198 0.00082389]	"[1.74088964e+00 1.38352119e-02 5.87518079e-04 1.52858645e+02
 4.76640834e-03]"
24	True	12.354302406311035	27.13269389726858	0.021628811295999723	0.013379003411727552	0.04673147392415677	2.5532836455033805	0.00011469369574350505	`xtol` termination condition is satisfied.	"[2.16288113e-02 1.33790034e-02 4.67314739e-02 2.55328365e+00
 1.14693696e-04]"	"[1.23985461e-03 3.47554839e-03 2.51119562e+00 3.62259091e+03
 2.57989231e+00]"
97	True	12.372742176055908	27.134550500163297	0.023757938615787795	0.014752092981696217	0.022781625894848195	1.1946147030606802	0.00011352403878031928	`xtol` termination condition is satisfied.	"[2.37579386e-02 1.47520930e-02 2.27816259e-02 1.19461470e+00
 1.13524039e-04]"	"[1.01946564e-04 1.85538024e-03 2.69829336e-01 3.85515877e-01
 7.15022881e-04]"
20	True	13.024280071258545	27.13487014919118	0.02246178643791847	0.013917171626670808	0.03484164358270795	1.876879272830702	0.00011426650500185191	`xtol` termination condition is satisfied.	"[2.24617864e-02 1.39171716e-02 3.48416436e-02 1.87687927e+00
 1.14266505e-04]"	"[1.84100412e-03 1.05450917e-04 2.48605835e-02 1.10948722e-02
 3.20879538e-05]"
82	True	13.843748569488525	27.13631215617114	0.019465746667609068	0.011940569441335206	0.12052054873338136	35.307517308671855	0.0005978219987890598	`xtol` termination condition is satisfied.	"[1.94657467e-02 1.19405694e-02 1.20520549e-01 3.53075173e+01
 5.97821999e-04]"	"[2.15492592e-03 6.65377252e-03 1.47261203e-02 2.18039504e+03
 3.23773813e-05]"
227	True	11.251156091690063	27.139282523651087	0.02056839157223562	0.012660469210163363	0.07408044574803466	3.9718796181770117	0.00011342372677346089	`xtol` termination condition is satisfied.	"[2.05683916e-02 1.26604692e-02 7.40804457e-02 3.97187962e+00
 1.13423727e-04]"	[0.00430024 0.00723837 0.4187159  0.70262406 0.00076512]
220	True	11.266173124313354	27.139376571868077	0.023457351413874887	0.014557799138383724	0.01048424717895029	3.0263447512185437	0.0005967650025250732	`xtol` termination condition is satisfied.	"[2.34573514e-02 1.45577991e-02 1.04842472e-02 3.02634475e+00
 5.96765003e-04]"	"[1.92570935e-02 1.56097857e-03 6.41085457e-04 2.40694592e+03
 1.65335160e-02]"
63	True	10.410893201828003	27.14664794561385	0.020896624904164093	0.012877992988467387	0.052215608385990396	15.34897126668124	0.0006011632970721798	`xtol` termination condition is satisfied.	"[2.08966249e-02 1.28779930e-02 5.22156084e-02 1.53489713e+01
 6.01163297e-04]"	"[8.69439244e-02 4.04496493e-03 9.37416076e-03 6.86186691e+02
 1.37564833e-03]"
